ZipCode,MedEnrollment,MedGraduation,Forclosure2023,Income_<25k,Income_>25K_<50K,Income_>50K_<100K,Income_>100K,Population,Foreclosure_rate,DrugCrimes,Other,PropertyCrimes,ViolentCrimes,IncomeScore,NeighborhoodScore,Rank
60633,0.5585760517799354,0.6381798002219756,0.038216560509554146,0.277,0.18,0.242,0.301,12483.0,6.408715853560842,0.0,0.04792332268370607,0.05044201768070723,0.02075226977950713,0.5441544511977118,-0.9483151462972675,23.0
60634,0.5935275080906148,0.8379578246392898,0.24203821656050956,0.135,0.16549999999999998,0.28300000000000003,0.4165,70822.0,5.647962497529016,0.020408163265306124,0.33226837060702874,0.3681747269890796,0.22568093385214005,0.798891669646049,-0.8186952605622926,18.0
60636,0.01488673139158575,0.0,0.43312101910828027,0.421,0.274,0.176,0.13,37114.0,18.86080724254998,0.20861678004535147,0.5463258785942492,0.43317732709308376,0.5667963683527886,0.21165534501251348,-4.014464495766186,55.0
60637,0.5352750809061488,0.6082130965593788,0.15923566878980894,0.34450000000000003,0.21050000000000002,0.176,0.122,46374.0,5.822227972570837,0.0816326530612245,0.610223642172524,0.7425897035881437,0.7574578469520103,0.09903468001430105,-1.2966320084532807,37.0
60638,0.7889967637540454,0.7846836847946725,0.18471337579617836,0.128,0.187,0.266,0.4185,54326.0,5.706291646725324,0.020408163265306124,0.35463258785942486,0.29433177327093085,0.14007782101167315,0.7933500178762959,-0.7648790801689729,15.0
60639,0.7825242718446601,0.7846836847946725,0.1496815286624204,0.16449999999999998,0.23399999999999999,0.32,0.281,66602.0,3.828713852436864,0.09070294784580499,0.8115015974440895,0.6240249609984401,0.6517509727626459,0.6583839828387555,-0.6570355610863973,12.0
60640,0.5262135922330098,0.20976692563818,0.10828025477707007,0.232,0.154,0.305,0.31,60709.0,3.129684231333081,0.024943310657596373,0.27795527156549515,0.4560582423296932,0.295071335927367,0.6321058276725061,-0.5211545230247431,9.0
60641,0.5411003236245955,0.5493895671476139,0.267515923566879,0.124,0.184,0.271,0.421,63239.0,6.957731779439903,0.054421768707483,0.47284345047923326,0.42069682787311496,0.301556420233463,0.8030032177332856,-1.1885035809984927,34.0
60642,0.8996763754045307,0.8357380688124307,,,,,,,6.763615526007436,0.02947845804988662,0.06389776357827476,0.33125325013000523,0.11413748378728923,0.6950303897032529,-0.9511974264709333,24.0
60643,0.35275080906148865,0.6148723640399558,0.3736730360934183,0.17566666666666667,0.18033333333333332,0.24433333333333332,0.39966666666666667,50226.0,12.078737440104062,0.07256235827664399,0.4440894568690096,0.41601664066562666,0.3346303501945525,0.7241091645810985,-2.2650225594660074,47.0
60644,0.26666666666666666,0.35405105438401785,1.0,0.352,0.224,0.231,0.193,41244.0,38.551061972650565,0.4852607709750567,0.5878594249201278,0.5533021320852836,0.7360570687418937,0.36682159456560604,-7.902882621161863,59.0
60645,0.6038834951456311,0.6270810210876805,0.22929936305732485,0.167,0.207,0.301,0.325,45659.0,8.322565102170437,0.009070294784580499,0.2364217252396166,0.24596983879355178,0.11608300907911802,0.6907400786557024,-1.3583172165248487,38.0
60646,0.5585760517799354,0.6381798002219756,0.1656050955414013,0.116,0.136,0.214,0.533,26050.0,10.748560460652591,0.0045351473922902496,0.07348242811501597,0.06552262090483621,0.0012970168612191982,0.8870218090811585,-1.7439312179065911,43.0
60646,0.5585760517799354,0.6381798002219756,0.10191082802547771,0.078,0.105,0.187,0.63,26050.0,6.90978886756238,0.0045351473922902496,0.07348242811501597,0.06552262090483621,0.0012970168612191982,0.9999999999999999,-0.9535812611047807,25.0
60647,0.6466019417475728,0.9156492785793564,0.10828025477707007,0.123,0.119,0.265,0.493,75516.0,2.5160230944435615,0.031746031746031744,0.41214057507987223,0.7337493499739991,0.420881971465629,0.8766535573829101,-0.26632109578359386,2.0
60649,0.3902912621359224,0.2774694783573808,0.7070063694267517,0.336,0.237,0.286,0.141,47392.0,23.84368669817691,0.061224489795918366,0.5335463258785943,0.7072282891315654,0.7172503242542153,0.3618162316767962,-4.920855792142075,57.0
60651,0.0,0.5738068812430632,1.0,0.352,0.224,0.231,0.193,49851.0,31.89504724077752,0.7097505668934241,0.7507987220447284,0.5278211128445138,0.6977950713359273,0.36682159456560604,-6.591949579853371,58.0
60651,0.0,0.5738068812430632,0.3121019108280255,0.25,0.24,0.28,0.23,49851.0,10.230486850815431,0.7097505668934241,0.7507987220447284,0.5278211128445138,0.6977950713359273,0.5144797997854843,-2.2295058608169773,45.0
60652,0.4951456310679611,0.7103218645948948,0.5414012738853503,0.144,0.162,0.338,0.356,40969.0,21.23556835656228,0.011337868480725623,0.15654952076677317,0.29745189807592304,0.1562905317769131,0.7668930997497317,-3.9488677385920443,54.0
